TIME,PERIOD,HOURS
0400 - 0600,Early-AM,2
0600-0900,AM-Peak,3
0900-1500,Midday,6
1500-1900,PM_Peak,4
1900-2300,Evening,4
2300-0400,Late-Night,5
0400-0800,SAT-AM,4
0800-2000,SAT-MD,12
2000-2400,SAT-PM,4
0000-0400,SAT-Late-Night,4
0000-0500,SUN-EA,5
0500-0900,SUN-AM,4
0900-1800,SUN-MD,9
1800-2400,SUN-PM,6
